soil_moisture,blue,green,red,red_edge,NIR
10.27,0.128551712,0.228878874,0.184808207,0.403282286,0.663127744
21.71,0.148152586,0.227744493,0.181546818,0.382098473,0.689425987
21.06,0.118751901,0.216170728,0.165292882,0.380511352,0.670277178
20.48,0.140188288,0.218833551,0.171301754,0.37484883,0.66981131
21.55,0.136302494,0.214982368,0.193116278,0.387420308,0.599443697
24.6,0.150262778,0.223272884,0.203940043,0.395046055,0.605715246
11.23,0.119546061,0.194823832,0.15808159,0.345909979,0.600278173
26.15,0.145889385,0.21485452,0.17716207,0.379713908,0.644522224
10.3,0.115562639,0.232998037,0.188069193,0.412960251,0.670111012
21.7,0.128944925,0.233206206,0.184321837,0.384307997,0.701726609
21.03,0.112631822,0.223024627,0.169038313,0.38988626,0.676504157
20.41,0.134917304,0.225977858,0.175834477,0.384965765,0.681914324
21.39,0.135637217,0.220592331,0.194753571,0.395704208,0.605988381
24.57,0.15412763,0.227749032,0.206305371,0.400185502,0.62351679
11.06,0.10949462,0.198731182,0.157070645,0.349268148,0.61005426
25.86,0.141261355,0.219519371,0.177094007,0.385933858,0.65413707
10.31,0.110822317,0.236579188,0.189409055,0.412709425,0.660489533
21.71,0.140522767,0.234964661,0.184062755,0.385368976,0.690041532
20.95,0.117220582,0.225857913,0.170609773,0.385458315,0.662274994
20.43,0.141232993,0.23085349,0.178125977,0.384023147,0.667284124
21.45,0.135986675,0.221802983,0.197616088,0.395919126,0.593049164
24.52,0.142657244,0.230177943,0.209207943,0.401728443,0.607783626
11.08,0.122258236,0.199598716,0.159197615,0.350303338,0.600018497
26.05,0.13076247,0.221766241,0.179057448,0.384948544,0.644414652
10.35,0.156834319,0.255887361,0.211724956,0.467396,0.771109584
21.76,0.179226698,0.261795483,0.215016509,0.457161121,0.824364806
21.12,0.148848229,0.232285362,0.180375406,0.422421505,0.737477493
20.48,0.173239215,0.239295362,0.186981108,0.419192065,0.761567555
21.47,0.156196438,0.223634481,0.20357895,0.411468885,0.639851962
24.58,0.183082576,0.238276049,0.222486849,0.430085276,0.671596522
11.31,0.134176068,0.196873198,0.162953648,0.353828653,0.620570206
26.18,0.163190484,0.223099624,0.185982034,0.397492398,0.681429647
