soil_moisture,soil_temperature,x470,x474,x478,x482,x486,x490,x494,x498,x502,x506,x510,x514,x518,x522,x526,x530,x534,x538,x542,x546,x550,x554,x558,x562,x566,x570,x574,x578,x582,x586,x590,x594,x598,x602,x606,x610,x614,x618,x622,x626,x630,x634,x638,x642,x646,x650,x654,x658,x662,x666,x670,x674,x678,x682,x686,x690,x694,x698,x702,x706,x710,x714,x718,x722,x726,x730,x734,x738,x742,x746,x750,x754,x758,x762,x766,x770,x774,x778,x782,x786,x790,x794,x798,x802,x806,x810,x814,x818,x822,x826,x830,x834,x838,x842,x846,x850,x854,x858,x862,x866,x870,x874,x878,x882,x886,x890,x894,x898,x902,x906,x910,x914,x918,x922,x926,x930
10.27,29.4,0.101238517,0.101881829,0.102012553,0.097445747,0.09515578,0.102506812,0.104298091,0.101077441,0.110524502,0.118790838,0.123126456,0.136333311,0.143239796,0.175702033,0.183492632,0.207502011,0.21244035,0.221117486,0.229478383,0.240846849,0.241407909,0.245871867,0.241799651,0.246639566,0.235225806,0.240723982,0.234941134,0.229372624,0.220216766,0.218761207,0.214900738,0.212883105,0.212606023,0.214715076,0.208443852,0.208963764,0.205305726,0.207518612,0.200008243,0.196513655,0.196294127,0.200239132,0.201337618,0.197063933,0.196517413,0.190370962,0.184587041,0.178953088,0.174006032,0.169627163,0.164691566,0.161874526,0.161915261,0.160221154,0.162862371,0.173880236,0.195397937,0.219444444,0.248209793,0.282792395,0.318836855,0.356007067,0.393629643,0.430243682,0.459484819,0.492446292,0.515453851,0.53571846,0.552867562,0.570640994,0.582933549,0.586575146,0.589426509,0.591722011,0.60409011,0.612215404,0.617341885,0.624644782,0.635630668,0.642830959,0.644221738,0.641962718,0.636396997,0.638403843,0.644144759,0.646634533,0.649766476,0.649752066,0.654756871,0.659308677,0.665346084,0.66074108,0.658738755,0.658683021,0.664079389,0.671178134,0.678364468,0.680260387,0.680267205,0.680997005,0.682985976,0.687953584,0.692505715,0.693747495,0.689612729,0.685230339,0.677233343,0.679131047,0.684598854,0.697724426,0.706467449,0.710404562,0.71463732,0.712266112,0.71242056,0.723924328
21.71,27.2,0.102531473,0.094833401,0.103827262,0.094372557,0.100218639,0.100953678,0.101854609,0.103636364,0.104500655,0.112779421,0.12325661,0.135169174,0.146556122,0.167291465,0.178574273,0.203680611,0.215840403,0.220498109,0.229604956,0.235795001,0.233718153,0.244471251,0.247914711,0.24445122,0.238322581,0.240062652,0.236161256,0.232706932,0.218535722,0.211237298,0.213455541,0.211566302,0.20728348,0.20999439,0.20218159,0.207302924,0.207457134,0.201922605,0.197032396,0.196040508,0.193115275,0.196831497,0.199522279,0.194423211,0.188557214,0.187167199,0.182708727,0.175855823,0.171401152,0.166463133,0.16362445,0.16007392,0.156633436,0.154923077,0.154078783,0.155683467,0.170626581,0.191481481,0.2180569,0.254695602,0.295869027,0.333038869,0.36917952,0.411723827,0.444179871,0.473024948,0.498030059,0.523186107,0.550505553,0.574080474,0.586628849,0.597493814,0.609470929,0.620564516,0.632473239,0.644122396,0.64850207,0.651951658,0.65708986,0.660876448,0.662546125,0.661339129,0.660642202,0.669307264,0.680471151,0.68653813,0.68000346,0.674710744,0.67751938,0.684830304,0.693551913,0.689597438,0.681760602,0.678483814,0.68975028,0.703411876,0.71512581,0.713182079,0.707843137,0.702473191,0.70426568,0.711682565,0.719888679,0.72744489,0.720604423,0.712381333,0.700318693,0.705692447,0.719402374,0.727077244,0.733842049,0.726350334,0.720405508,0.711018711,0.713056082,0.727431076
21.06,28.4,0.092834297,0.085862674,0.083217356,0.085152986,0.083861711,0.085292916,0.092980912,0.091993266,0.098083948,0.104285026,0.117009179,0.127149568,0.139795918,0.161509199,0.175673702,0.192343792,0.201358696,0.208977702,0.220618213,0.224680936,0.225776274,0.228173167,0.23313665,0.234925474,0.22683871,0.221545423,0.219757403,0.218397192,0.203966674,0.200448296,0.197558378,0.19576467,0.193533577,0.196441452,0.192639096,0.191147489,0.190399547,0.187310807,0.181996538,0.179638084,0.179287268,0.18190281,0.182194042,0.179899236,0.176782753,0.171317004,0.166828435,0.157444304,0.150388447,0.14835785,0.145661331,0.142067854,0.141152224,0.13775,0.139988443,0.145757957,0.162492703,0.185555556,0.216953745,0.253783369,0.296592423,0.332685512,0.372647623,0.410523466,0.439975215,0.46726438,0.496578076,0.51810971,0.540585115,0.560791574,0.573849271,0.584755368,0.591687158,0.595627767,0.606973958,0.616510576,0.620427052,0.623558713,0.628895301,0.633966508,0.636413955,0.634021566,0.634495413,0.639684814,0.64544213,0.647779308,0.648780488,0.650082645,0.6545895,0.659308677,0.668460838,0.66873742,0.670075271,0.669722402,0.671161014,0.673506126,0.670577583,0.667164465,0.667666282,0.670901362,0.678915076,0.684964107,0.688917603,0.686893788,0.683908736,0.685989807,0.677801016,0.683526099,0.688876381,0.695542797,0.704034152,0.699569615,0.70145289,0.695841996,0.688694392,0.69806206
20.48,25,0.093868663,0.09124511,0.091513167,0.092579863,0.095675048,0.09383515,0.097739272,0.097111111,0.101357778,0.104938441,0.115577476,0.130124583,0.137244898,0.162691935,0.17479092,0.191197372,0.202114263,0.211950711,0.224162281,0.22619649,0.229305998,0.23517625,0.236066783,0.235182927,0.233419355,0.226439262,0.221655369,0.213673589,0.209430067,0.204707113,0.199292614,0.199129832,0.194568516,0.198421095,0.193533705,0.195375079,0.196392753,0.19275137,0.185442255,0.182476965,0.184373431,0.187582202,0.183679319,0.185015636,0.17893864,0.173509052,0.172804889,0.167252309,0.16219724,0.156795263,0.154198259,0.151611069,0.146251917,0.14725,0.149138014,0.152742575,0.166559642,0.188888889,0.216034449,0.254695602,0.29152865,0.325441696,0.362590125,0.400749097,0.431734089,0.460351698,0.489156831,0.516206062,0.54090005,0.560635234,0.573849271,0.584300423,0.593797097,0.600885515,0.612589871,0.624947521,0.628139969,0.63085089,0.637040396,0.644413897,0.64884267,0.64672741,0.644795663,0.648171246,0.653388529,0.656446893,0.657161391,0.657024793,0.660447498,0.665774156,0.671921676,0.66925892,0.66588948,0.665516923,0.670983973,0.67529689,0.680718643,0.681169826,0.680267205,0.680629891,0.685391508,0.687953584,0.697982308,0.703266533,0.702541779,0.696812231,0.686883777,0.683908277,0.688293082,0.693757829,0.698964781,0.695889821,0.688474466,0.685862786,0.68551678,0.692363594
21.55,28.8,0.102660769,0.108289491,0.11004912,0.103848228,0.103074611,0.108719346,0.107770407,0.111185185,0.116286443,0.121404498,0.127681874,0.139049629,0.150255102,0.174650712,0.179709279,0.196802092,0.201484624,0.208110575,0.216820998,0.219502792,0.225398089,0.227154537,0.229569532,0.227974255,0.224129032,0.223132614,0.219350696,0.221036853,0.210550763,0.210385535,0.207530235,0.206299091,0.207579177,0.209842109,0.204716315,0.208812778,0.206688774,0.200523603,0.203140714,0.201402839,0.200585578,0.202997694,0.203813081,0.203005559,0.197512438,0.197958821,0.194661634,0.190653867,0.186162142,0.184041077,0.179275484,0.178440106,0.179946319,0.178855769,0.179697583,0.186930444,0.201313485,0.220740741,0.24673892,0.285346649,0.323900628,0.356713781,0.383918956,0.417382671,0.437452421,0.45459113,0.474637004,0.493520915,0.50751699,0.519205135,0.527658023,0.534863118,0.540596494,0.544252056,0.552787985,0.561133538,0.562425915,0.56196309,0.565300907,0.571282179,0.576023147,0.57462175,0.573010842,0.578358335,0.584303517,0.586779136,0.587813527,0.589586777,0.593331572,0.597376198,0.600974499,0.600247027,0.599091243,0.598404501,0.598397316,0.599547597,0.601038887,0.60459506,0.615436371,0.625929862,0.634875341,0.632461402,0.63169665,0.637204409,0.630291204,0.626751274,0.621979882,0.620084482,0.630352026,0.641200418,0.650501601,0.646825909,0.640062886,0.632640333,0.638276285,0.651378475
24.6,25.9,0.109384144,0.113543774,0.113808159,0.108329964,0.111382892,0.115967302,0.115229457,0.116686869,0.123619822,0.127285233,0.142129059,0.144870311,0.154336735,0.17767326,0.187906545,0.204572271,0.207781018,0.21727735,0.218972753,0.226575379,0.232457537,0.240906045,0.237977739,0.232737127,0.235354839,0.236756004,0.232365323,0.230067271,0.224139202,0.220322773,0.218802769,0.214199908,0.218224263,0.219588042,0.21738994,0.216513032,0.216062763,0.214202733,0.21363449,0.212285216,0.211711561,0.213545136,0.218170763,0.21323836,0.209618574,0.206389776,0.206614541,0.202698786,0.197970935,0.196521417,0.191369466,0.187983321,0.185410276,0.185615385,0.190677068,0.197407372,0.209262502,0.229259259,0.257770466,0.287900903,0.32733676,0.359363958,0.387733869,0.416353791,0.449057272,0.471379071,0.48560754,0.507956917,0.527830267,0.543750514,0.553371151,0.555335621,0.560339494,0.561527514,0.56705544,0.57309866,0.577543233,0.580271109,0.585507007,0.590435724,0.594028849,0.591774638,0.586955796,0.591808529,0.596466371,0.595937339,0.596523093,0.596363636,0.5955074,0.596865765,0.606684882,0.610850869,0.614264733,0.604887946,0.596980991,0.600622055,0.608463591,0.620237411,0.624932718,0.629968119,0.629879236,0.634516668,0.632640891,0.642344689,0.636945862,0.633396622,0.635036351,0.639002313,0.640851412,0.646555324,0.655368196,0.649687971,0.64109292,0.632016632,0.635946036,0.651816819
11.23,28.6,0.08766247,0.089194658,0.088791104,0.084128589,0.090742006,0.091246594,0.091566265,0.091993266,0.09611965,0.104677075,0.110761748,0.118871264,0.130102041,0.151127404,0.159405283,0.173873693,0.181588017,0.191139653,0.195303444,0.200684658,0.202707006,0.208691864,0.209822985,0.206605691,0.204903226,0.203160459,0.196168391,0.194084528,0.186455799,0.184548715,0.182094774,0.180109349,0.174313283,0.179995191,0.174448717,0.174539097,0.177491103,0.174875235,0.168057044,0.168597991,0.168320228,0.171030831,0.171136976,0.169006254,0.167495854,0.16642705,0.16051047,0.151249774,0.147957225,0.143963364,0.140859309,0.140087187,0.139148773,0.138663462,0.141635366,0.145757957,0.157316599,0.176481481,0.202245016,0.236268485,0.274890539,0.305300353,0.33571233,0.370054152,0.399610516,0.424306999,0.444952025,0.465759372,0.49082546,0.508886695,0.520729335,0.528948839,0.538185135,0.545003163,0.555671833,0.564508316,0.566745149,0.568014045,0.571409728,0.57634758,0.581600134,0.580815849,0.579507923,0.58252149,0.589006487,0.592503013,0.590935824,0.588099174,0.588143058,0.589889854,0.592322404,0.594858188,0.598568019,0.600682468,0.60512486,0.610113101,0.613715212,0.615690216,0.615984237,0.61638489,0.61618621,0.620129806,0.625086969,0.628827655,0.627249074,0.624472869,0.61914152,0.617218143,0.621991404,0.62473904,0.634076841,0.637421993,0.632852651,0.61954262,0.622176385,0.62463952
26.15,26.5,0.103436543,0.101497369,0.102401419,0.101927483,0.098401203,0.102765668,0.102369027,0.105939394,0.113405472,0.116569228,0.121304288,0.131418068,0.144642857,0.164531747,0.174034249,0.193617592,0.202995758,0.204889816,0.219985344,0.223796863,0.226406582,0.232502346,0.226512002,0.229132791,0.222967742,0.221413157,0.216368177,0.214507166,0.20788911,0.204139271,0.202905606,0.196935161,0.196047,0.197355133,0.191744487,0.192657343,0.190245875,0.191818702,0.190140961,0.185788993,0.187234399,0.190827569,0.193416138,0.187161223,0.186733002,0.178736244,0.176220005,0.17379098,0.167754319,0.165584235,0.162201629,0.161334344,0.158454755,0.154557692,0.157372628,0.166160395,0.177836155,0.200740741,0.228353009,0.25980411,0.3009328,0.333568905,0.364497581,0.402292419,0.434593255,0.465453915,0.492706122,0.514936963,0.537593237,0.555006994,0.567228525,0.573836699,0.582343143,0.584962049,0.591947595,0.600096884,0.603458634,0.606957374,0.616207749,0.623044239,0.62143576,0.618139263,0.620233528,0.630237654,0.63376579,0.635513858,0.636291299,0.637024793,0.639693446,0.642124116,0.647176685,0.644226898,0.644262897,0.643788619,0.643719717,0.64395853,0.650476554,0.652977216,0.655613226,0.660805719,0.66947799,0.677490412,0.679852897,0.679659319,0.674972481,0.678205256,0.665690668,0.667665694,0.673516169,0.665991649,0.667129136,0.657456423,0.655101377,0.653222453,0.657977478,0.669350559
10.3,28.3,0.103463697,0.10293117,0.091526311,0.102890475,0.103315208,0.101090493,0.096660067,0.107251411,0.115256444,0.115065483,0.127934334,0.148858729,0.148399068,0.177088017,0.19292157,0.208473568,0.221062053,0.222234264,0.234352047,0.2392806,0.24106412,0.250854555,0.251255766,0.253574833,0.244358245,0.236544821,0.239015497,0.231439747,0.218156822,0.217569771,0.214003887,0.211297935,0.21031041,0.209756342,0.210808039,0.211306223,0.213474295,0.208436279,0.205204814,0.199606968,0.20276027,0.199297829,0.201949554,0.20439008,0.200124182,0.190924522,0.185874286,0.181629076,0.175864089,0.17145737,0.170169572,0.16573351,0.165328289,0.168425595,0.167100211,0.173922174,0.193451131,0.21733796,0.253570093,0.290896872,0.329475826,0.36982423,0.410751445,0.44,0.468470067,0.495804423,0.523446659,0.547362891,0.57625207,0.59389523,0.594851841,0.592771675,0.608508962,0.6234463,0.625257019,0.627434856,0.62981865,0.630762376,0.632642333,0.634342328,0.636632275,0.641391498,0.646359841,0.648942288,0.651113643,0.653280318,0.66020202,0.663531193,0.659310571,0.655143672,0.65480226,0.662117965,0.670948435,0.678285313,0.677095756,0.677416346,0.672002322,0.66587237,0.664247437,0.668534987,0.677482897,0.689162503,0.690826129,0.693566756,0.698087532,0.701701863,0.70800303,0.715587561,0.714053084,0.709127292,0.695854385,0.692051316,0.698874271,0.710707297,0.719872353,0.713718306
21.7,27,0.105296387,0.103925674,0.10180644,0.101236288,0.098815997,0.10075631,0.099767582,0.108076422,0.107671613,0.117570537,0.125098762,0.138979466,0.153974282,0.178566488,0.190962976,0.20863505,0.2192806,0.224135056,0.237239341,0.238800438,0.249812415,0.250854555,0.247035708,0.251598925,0.237970865,0.242148539,0.238842297,0.234093872,0.226443538,0.218480867,0.215296404,0.210550639,0.214292844,0.210137371,0.209639048,0.207794208,0.206975539,0.209840566,0.205405405,0.196377735,0.205031515,0.195603327,0.195462055,0.198022788,0.195834274,0.190279507,0.186525714,0.177854388,0.170966608,0.166951263,0.164497253,0.16208098,0.158835733,0.153902108,0.153449771,0.159369981,0.171852218,0.19167183,0.223501558,0.257233627,0.293094782,0.337996933,0.376924855,0.409462366,0.439611973,0.470880312,0.501982308,0.532391259,0.563472682,0.590409702,0.602623965,0.614201648,0.630214694,0.642406877,0.64460261,0.646824532,0.651095035,0.657663366,0.662983535,0.656098775,0.65566463,0.658467131,0.660869565,0.66533169,0.670599814,0.678926441,0.689292929,0.699275597,0.698483692,0.694944067,0.693740999,0.698545167,0.703314917,0.710107754,0.703753069,0.70089775,0.696041788,0.701429734,0.705859739,0.712555582,0.714012739,0.71312158,0.714097022,0.718427429,0.727203629,0.740645963,0.754771522,0.754817742,0.74548019,0.739788278,0.722684286,0.732760217,0.742682761,0.760637406,0.781882797,0.776652499
